"year","stateabbr","statedesc","locationname","datasource","category","measure","data_value_unit","data_value_type","data_value","data_value_footnote_symbol","data_value_footnote","low_confidence_limit","high_confidence_limit","totalpopulation","locationid","categoryid","measureid","datavaluetypeid","short_question_text","brfssYr","totalpop18plus","geolocation"
2022,"MN","Minnesota","Minnesota","BRFSS","Prevention","Current lack of health insurance among adults aged 18-64 years","%","Age-adjusted prevalence",NA,NA,NA,NA,NA,999999999,99,"PREVENT","ACCESS2","AgeAdjPrv","Health Insurance",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence",70,NA,NA,66.7,73.2,999999999,99,"PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence",71.9,NA,NA,68.7,74.9,999999999,99,"PREVENT","CHECKUP","CrdPrv","Annual Checkup",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Prevention","Visited dentist or dental clinic in the past year among adults","%","Crude prevalence",67.5,NA,NA,64.6,70.2,999999999,99,"PREVENT","DENTAL","CrdPrv","Dental Visit",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Prevention","Visited dentist or dental clinic in the past year among adults","%","Age-adjusted prevalence",67,NA,NA,64.1,69.7,999999999,99,"PREVENT","DENTAL","AgeAdjPrv","Dental Visit",2022,NA,NA
2021,"MN","Minnesota","Minnesota","BRFSS","Prevention","Taking medicine to control high blood pressure among adults with high blood pressure","%","Crude prevalence",NA,NA,NA,NA,NA,999999999,99,"PREVENT","BPMED","CrdPrv","High Blood Pressure Medication",2021,NA,NA
2021,"MN","Minnesota","Minnesota","BRFSS","Prevention","Taking medicine to control high blood pressure among adults with high blood pressure","%","Age-adjusted prevalence",NA,NA,NA,NA,NA,999999999,99,"PREVENT","BPMED","AgeAdjPrv","High Blood Pressure Medication",2021,NA,NA
2021,"MN","Minnesota","Minnesota","BRFSS","Prevention","Cholesterol screening among adults","%","Crude prevalence",NA,NA,NA,NA,NA,999999999,99,"PREVENT","CHOLSCREEN","CrdPrv","Cholesterol Screening",2021,NA,NA
2021,"MN","Minnesota","Minnesota","BRFSS","Prevention","Cholesterol screening among adults","%","Age-adjusted prevalence",NA,NA,NA,NA,NA,999999999,99,"PREVENT","CHOLSCREEN","AgeAdjPrv","Cholesterol Screening",2021,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Prevention","Mammography use among women aged 50-74 years","%","Age-adjusted prevalence",NA,NA,NA,NA,NA,999999999,99,"PREVENT","MAMMOUSE","AgeAdjPrv","Mammography",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Prevention","Mammography use among women aged 50-74 years","%","Crude prevalence",NA,NA,NA,NA,NA,999999999,99,"PREVENT","MAMMOUSE","CrdPrv","Mammography",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Prevention","Colorectal cancer screening among adults aged 45–75 years","%","Crude prevalence",NA,NA,NA,NA,NA,999999999,99,"PREVENT","COLON_SCREEN","CrdPrv","Colorectal Cancer Screening",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Prevention","Colorectal cancer screening among adults aged 45–75 years","%","Age-adjusted prevalence",NA,NA,NA,NA,NA,999999999,99,"PREVENT","COLON_SCREEN","AgeAdjPrv","Colorectal Cancer Screening",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Risk Behaviors","Binge drinking among adults","%","Crude prevalence",20.4,NA,NA,17.8,23.3,999999999,99,"RISKBEH","BINGE","CrdPrv","Binge Drinking",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Risk Behaviors","Binge drinking among adults","%","Age-adjusted prevalence",22,NA,NA,19.1,25,999999999,99,"RISKBEH","BINGE","AgeAdjPrv","Binge Drinking",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Risk Behaviors","Current cigarette smoking among adults","%","Crude prevalence",13.6,NA,NA,12.1,15.2,999999999,99,"RISKBEH","CSMOKING","CrdPrv","Current Cigarette Smoking",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Risk Behaviors","Current cigarette smoking among adults","%","Age-adjusted prevalence",14,NA,NA,12.4,15.6,999999999,99,"RISKBEH","CSMOKING","AgeAdjPrv","Current Cigarette Smoking",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Risk Behaviors","No leisure-time physical activity among adults","%","Age-adjusted prevalence",19.5,NA,NA,17,22.1,999999999,99,"RISKBEH","LPA","AgeAdjPrv","Physical Inactivity",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Risk Behaviors","No leisure-time physical activity among adults","%","Crude prevalence",20.2,NA,NA,17.6,22.9,999999999,99,"RISKBEH","LPA","CrdPrv","Physical Inactivity",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Risk Behaviors","Short sleep duration among adults","%","Age-adjusted prevalence",30,NA,NA,26.3,34,999999999,99,"RISKBEH","SLEEP","AgeAdjPrv","Short Sleep Duration",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Risk Behaviors","Short sleep duration among adults","%","Crude prevalence",29.2,NA,NA,25.5,33.2,999999999,99,"RISKBEH","SLEEP","CrdPrv","Short Sleep Duration",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Status","Frequent mental distress among adults","%","Age-adjusted prevalence",15.7,NA,NA,14.3,17.2,999999999,99,"HLTHSTAT","MHLTH","AgeAdjPrv","Frequent Mental Distress",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Status","Frequent mental distress among adults","%","Crude prevalence",15,NA,NA,13.6,16.4,999999999,99,"HLTHSTAT","MHLTH","CrdPrv","Frequent Mental Distress",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Status","Frequent physical distress among adults","%","Crude prevalence",11,NA,NA,9.9,12.2,999999999,99,"HLTHSTAT","PHLTH","CrdPrv","Frequent Physical Distress",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Status","Frequent physical distress among adults","%","Age-adjusted prevalence",10.4,NA,NA,9.3,11.6,999999999,99,"HLTHSTAT","PHLTH","AgeAdjPrv","Frequent Physical Distress",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Status","Fair or poor self-rated health status among adults","%","Crude prevalence",14.4,NA,NA,13,16,999999999,99,"HLTHSTAT","GHLTH","CrdPrv","General Health",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health Status","Fair or poor self-rated health status among adults","%","Age-adjusted prevalence",13.7,NA,NA,12.3,15.1,999999999,99,"HLTHSTAT","GHLTH","AgeAdjPrv","General Health",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Disability","Hearing disability among adults","%","Crude prevalence",6.9,NA,NA,6.2,7.7,999999999,99,"DISABLT","HEARING","CrdPrv","Hearing Disability",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Disability","Hearing disability among adults","%","Age-adjusted prevalence",6,NA,NA,5.4,6.7,999999999,99,"DISABLT","HEARING","AgeAdjPrv","Hearing Disability",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Disability","Vision disability among adults","%","Age-adjusted prevalence",3.8,NA,NA,3.5,4.2,999999999,99,"DISABLT","VISION","AgeAdjPrv","Vision Disability",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Disability","Vision disability among adults","%","Crude prevalence",4,NA,NA,3.7,4.4,999999999,99,"DISABLT","VISION","CrdPrv","Vision Disability",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Disability","Cognitive disability among adults","%","Crude prevalence",12.3,NA,NA,11.1,13.6,999999999,99,"DISABLT","COGNITION","CrdPrv","Cognitive Disability",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Disability","Cognitive disability among adults","%","Age-adjusted prevalence",12.7,NA,NA,11.4,14,999999999,99,"DISABLT","COGNITION","AgeAdjPrv","Cognitive Disability",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Disability","Mobility disability among adults","%","Crude prevalence",11.1,NA,NA,9.9,12.3,999999999,99,"DISABLT","MOBILITY","CrdPrv","Mobility Disability",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Disability","Mobility disability among adults","%","Age-adjusted prevalence",9.7,NA,NA,8.7,10.8,999999999,99,"DISABLT","MOBILITY","AgeAdjPrv","Mobility Disability",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Disability","Self-care disability among adults","%","Crude prevalence",3.1,NA,NA,2.8,3.4,999999999,99,"DISABLT","SELFCARE","CrdPrv","Self-care Disability",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Disability","Self-care disability among adults","%","Age-adjusted prevalence",2.9,NA,NA,2.6,3.1,999999999,99,"DISABLT","SELFCARE","AgeAdjPrv","Self-care Disability",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Disability","Independent living disability among adults","%","Crude prevalence",6.7,NA,NA,6.1,7.4,999999999,99,"DISABLT","INDEPLIVE","CrdPrv","Independent Living Disability",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Disability","Independent living disability among adults","%","Age-adjusted prevalence",6.5,NA,NA,5.9,7.2,999999999,99,"DISABLT","INDEPLIVE","AgeAdjPrv","Independent Living Disability",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Disability","Any disability among adults","%","Age-adjusted prevalence",25.3,NA,NA,22.6,28,999999999,99,"DISABLT","DISABILITY","AgeAdjPrv","Any Disability",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Disability","Any disability among adults","%","Crude prevalence",26.6,NA,NA,24,29.5,999999999,99,"DISABLT","DISABILITY","CrdPrv","Any Disability",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health-Related Social Needs","Feeling socially isolated among adults","%","Age-adjusted prevalence",31.8,NA,NA,28.4,35.4,999999999,99,"SOCLNEED","ISOLATION","AgeAdjPrv","Social Isolation",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health-Related Social Needs","Feeling socially isolated among adults","%","Crude prevalence",31,NA,NA,27.6,34.5,999999999,99,"SOCLNEED","ISOLATION","CrdPrv","Social Isolation",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health-Related Social Needs","Received food stamps in the past 12 months among adults","%","Crude prevalence",8.8,NA,NA,7.8,9.9,999999999,99,"SOCLNEED","FOODSTAMP","CrdPrv","Food Stamps",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health-Related Social Needs","Received food stamps in the past 12 months among adults","%","Age-adjusted prevalence",9.3,NA,NA,8.2,10.4,999999999,99,"SOCLNEED","FOODSTAMP","AgeAdjPrv","Food Stamps",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health-Related Social Needs","Food insecurity in the past 12 months among adults","%","Crude prevalence",9.8,NA,NA,8.8,10.9,999999999,99,"SOCLNEED","FOODINSECU","CrdPrv","Food Insecurity",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health-Related Social Needs","Food insecurity in the past 12 months among adults","%","Age-adjusted prevalence",10.2,NA,NA,9.1,11.4,999999999,99,"SOCLNEED","FOODINSECU","AgeAdjPrv","Food Insecurity",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health-Related Social Needs","Housing insecurity in the past 12 months among adults","%","Crude prevalence",9.7,NA,NA,8.6,10.8,999999999,99,"SOCLNEED","HOUSINSECU","CrdPrv","Housing Insecurity",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health-Related Social Needs","Housing insecurity in the past 12 months among adults","%","Age-adjusted prevalence",10.4,NA,NA,9.3,11.7,999999999,99,"SOCLNEED","HOUSINSECU","AgeAdjPrv","Housing Insecurity",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health-Related Social Needs","Utility services shut-off threat in the past 12 months among adults","%","Age-adjusted prevalence",6.4,NA,NA,5.7,7.3,999999999,99,"SOCLNEED","SHUTUTILITY","AgeAdjPrv","Utility Services Threat",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health-Related Social Needs","Utility services shut-off threat in the past 12 months among adults","%","Crude prevalence",5.9,NA,NA,5.2,6.7,999999999,99,"SOCLNEED","SHUTUTILITY","CrdPrv","Utility Services Threat",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health-Related Social Needs","Lack of reliable transportation in the past 12 months among adults","%","Age-adjusted prevalence",7.3,NA,NA,6.6,8,999999999,99,"SOCLNEED","LACKTRPT","AgeAdjPrv","Transportation Barriers",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health-Related Social Needs","Lack of reliable transportation in the past 12 months among adults","%","Crude prevalence",7,NA,NA,6.3,7.7,999999999,99,"SOCLNEED","LACKTRPT","CrdPrv","Transportation Barriers",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health-Related Social Needs","Lack of social and emotional support among adults","%","Age-adjusted prevalence",22.5,NA,NA,20,25.2,999999999,99,"SOCLNEED","EMOTIONSPT","AgeAdjPrv","Lack of Social/Emotional Support",2022,NA,NA
2022,"MN","Minnesota","Minnesota","BRFSS","Health-Related Social Needs","Lack of social and emotional support among adults","%","Crude prevalence",22,NA,NA,19.6,24.7,999999999,99,"SOCLNEED","EMOTIONSPT","CrdPrv","Lack of Social/Emotional Support",2022,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Health Outcomes","Arthritis among adults","%","Age-adjusted prevalence",22.8,NA,NA,19.8,25.9,99999999,999,"HLTHOUT","ARTHRITIS","AgeAdjPrv","Arthritis",2022,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence",28.1,NA,NA,26.8,29.4,99999999,999,"HLTHOUT","ARTHRITIS","CrdPrv","Arthritis",2022,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Health Outcomes","Current asthma among adults","%","Age-adjusted prevalence",10,NA,NA,8.8,11.3,99999999,999,"HLTHOUT","CASTHMA","AgeAdjPrv","Current Asthma",2022,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence",9.9,NA,NA,8.7,11.2,99999999,999,"HLTHOUT","CASTHMA","CrdPrv","Current Asthma",2022,NA,NA
2021,"MN","Minnesota","CHS","BRFSS","Health Outcomes","High blood pressure among adults","%","Crude prevalence",NA,NA,NA,NA,NA,99999999,999,"HLTHOUT","BPHIGH","CrdPrv","High Blood Pressure",2021,NA,NA
2021,"MN","Minnesota","CHS","BRFSS","Health Outcomes","High blood pressure among adults","%","Age-adjusted prevalence",NA,NA,NA,NA,NA,99999999,999,"HLTHOUT","BPHIGH","AgeAdjPrv","High Blood Pressure",2021,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Health Outcomes","Cancer (non-skin) or melanoma among adults","%","Age-adjusted prevalence",7.2,NA,NA,6.5,7.9,99999999,999,"HLTHOUT","CANCER","AgeAdjPrv","Cancer (non-skin) or Melanoma",2022,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Health Outcomes","Cancer (non-skin) or melanoma among adults","%","Crude prevalence",9.6,NA,NA,8.7,10.5,99999999,999,"HLTHOUT","CANCER","CrdPrv","Cancer (non-skin) or Melanoma",2022,NA,NA
2021,"MN","Minnesota","CHS","BRFSS","Health Outcomes","High cholesterol among adults who have ever been screened","%","Age-adjusted prevalence",NA,NA,NA,NA,NA,99999999,999,"HLTHOUT","HIGHCHOL","AgeAdjPrv","High Cholesterol",2021,NA,NA
2021,"MN","Minnesota","CHS","BRFSS","Health Outcomes","High cholesterol among adults who have ever been screened","%","Crude prevalence",NA,NA,NA,NA,NA,99999999,999,"HLTHOUT","HIGHCHOL","CrdPrv","High Cholesterol",2021,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Crude prevalence",7,NA,NA,6.3,7.8,99999999,999,"HLTHOUT","COPD","CrdPrv","COPD",2022,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Age-adjusted prevalence",5.5,NA,NA,4.9,6.1,99999999,999,"HLTHOUT","COPD","AgeAdjPrv","COPD",2022,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Health Outcomes","Coronary heart disease among adults","%","Crude prevalence",7.8,NA,NA,7,8.6,99999999,999,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease",2022,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Health Outcomes","Coronary heart disease among adults","%","Age-adjusted prevalence",5.6,NA,NA,5,6.3,99999999,999,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease",2022,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence",11.4,NA,NA,9.9,13.2,99999999,999,"HLTHOUT","DIABETES","CrdPrv","Diabetes",2022,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Age-adjusted prevalence",8.9,NA,NA,7.6,10.2,99999999,999,"HLTHOUT","DIABETES","AgeAdjPrv","Diabetes",2022,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",35,NA,NA,28.3,42.4,99999999,999,"HLTHOUT","OBESITY","CrdPrv","Obesity",2022,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Health Outcomes","Obesity among adults","%","Age-adjusted prevalence",35,NA,NA,28.2,42.3,99999999,999,"HLTHOUT","OBESITY","AgeAdjPrv","Obesity",2022,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Health Outcomes","All teeth lost among adults aged >=65 years","%","Age-adjusted prevalence",NA,NA,NA,NA,NA,99999999,999,"HLTHOUT","TEETHLOST","AgeAdjPrv","All Teeth Lost",2022,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Health Outcomes","All teeth lost among adults aged >=65 years","%","Crude prevalence",NA,NA,NA,NA,NA,99999999,999,"HLTHOUT","TEETHLOST","CrdPrv","All Teeth Lost",2022,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Health Outcomes","Stroke among adults","%","Age-adjusted prevalence",2.8,NA,NA,2.6,3.1,99999999,999,"HLTHOUT","STROKE","AgeAdjPrv","Stroke",2022,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence",3.8,NA,NA,3.4,4.1,99999999,999,"HLTHOUT","STROKE","CrdPrv","Stroke",2022,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Health Outcomes","Depression among adults","%","Age-adjusted prevalence",25.5,NA,NA,21.8,29.4,99999999,999,"HLTHOUT","DEPRESSION","AgeAdjPrv","Depression",2022,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence",24,NA,NA,20.6,27.8,99999999,999,"HLTHOUT","DEPRESSION","CrdPrv","Depression",2022,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Prevention","Current lack of health insurance among adults aged 18-64 years","%","Age-adjusted prevalence",NA,NA,NA,NA,NA,99999999,999,"PREVENT","ACCESS2","AgeAdjPrv","Health Insurance",2022,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Prevention","Current lack of health insurance among adults aged 18-64 years","%","Crude prevalence",NA,NA,NA,NA,NA,99999999,999,"PREVENT","ACCESS2","CrdPrv","Health Insurance",2022,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence",72.6,NA,NA,68.5,76.6,99999999,999,"PREVENT","CHECKUP","CrdPrv","Annual Checkup",2022,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence",69,NA,NA,64.6,73.4,99999999,999,"PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup",2022,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Prevention","Visited dentist or dental clinic in the past year among adults","%","Crude prevalence",66.3,NA,NA,62.8,69.8,99999999,999,"PREVENT","DENTAL","CrdPrv","Dental Visit",2022,NA,NA
2022,"MN","Minnesota","CHS","BRFSS","Prevention","Visited dentist or dental clinic in the past year among adults","%","Age-adjusted prevalence",66.2,NA,NA,62.7,69.6,99999999,999,"PREVENT","DENTAL","AgeAdjPrv","Dental Visit",2022,NA,NA
2021,"MN","Minnesota","CHS","BRFSS","Prevention","Taking medicine to control high blood pressure among adults with high blood pressure","%","Age-adjusted prevalence",NA,NA,NA,NA,NA,99999999,999,"PREVENT","BPMED","AgeAdjPrv","High Blood Pressure Medication",2021,NA,NA
2021,"MN","Minnesota","CHS","BRFSS","Prevention","Taking medicine to control high blood pressure among adults with high blood pressure","%","Crude prevalence",NA,NA,NA,NA,NA,99999999,999,"PREVENT","BPMED","CrdPrv","High Blood Pressure Medication",2021,NA,NA
